Ke_delta,Laminar,Re=2000,Re=3000,Re=5000,Re=10000,Re=infinity
0.79,-0.5640694,-0.08478375,-0.06882653,-0.0540444,-0.03852147,0.04759812
0.8,-0.57592,-0.0905,-0.074532,-0.05958,-0.043688,0.043408
0.81,-0.5875714,-0.09601375,-0.08004013,-0.0649204,-0.04865587,0.03941452
0.82,-0.5990236,-0.101325,-0.08535092,-0.0700656,-0.05342508,0.03561768
0.83,-0.6102766,-0.10643375,-0.09046437,-0.0750156,-0.05799563,0.03201748
0.84,-0.6213304,-0.11134,-0.09538048,-0.0797704,-0.06236752,0.02861392
0.85,-0.632185,-0.11604375,-0.10009925,-0.08433,-0.06654075,0.025407
0.86,-0.6428404,-0.120545,-0.10462068,-0.0886944,-0.07051532,0.02239672
0.87,-0.6532966,-0.12484375,-0.10894477,-0.0928636,-0.07429123,0.01958308
0.88,-0.6635536,-0.12894,-0.11307152,-0.0968376,-0.07786848,0.01696608
0.89,-0.6736114,-0.13283375,-0.11700093,-0.1006164,-0.08124707,0.01454572
0.9,-0.68347,-0.136525,-0.120733,-0.1042,-0.084427,0.012322
0.91,-0.6931294,-0.14001375,-0.12426773,-0.1075884,-0.08740827,0.01029492
0.92,-0.7025896,-0.1433,-0.12760512,-0.1107816,-0.09019088,0.00846448
0.93,-0.7118506,-0.14638375,-0.13074517,-0.1137796,-0.09277483,0.00683068
0.94,-0.7209124,-0.149265,-0.13368788,-0.1165824,-0.09516012,0.00539352
0.95,-0.729775,-0.15194375,-0.13643325,-0.11919,-0.09734675,0.004153
0.96,-0.7384384,-0.15442,-0.13898128,-0.1216024,-0.09933472,0.00310912
0.97,-0.7469026,-0.15669375,-0.14133197,-0.1238196,-0.10112403,0.00226188
0.98,-0.7551676,-0.158765,-0.14348532,-0.1258416,-0.10271468,0.00161128
0.99,-0.7632334,-0.16063375,-0.14544133,-0.1276684,-0.10410667,0.00115732
1,-0.7711,-0.1623,-0.1472,-0.1293,-0.1053,0.0009
