  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.4760   0.02270   0.01275  -0.0018   1.0000   0.0559
  -4.750  -0.4565   0.02199   0.01209  -0.0004   1.0000   0.0582
  -4.500  -0.4369   0.02138   0.01147   0.0010   1.0000   0.0614
  -4.250  -0.4165   0.02076   0.01080   0.0023   0.9998   0.0645
  -4.000  -0.3789   0.01990   0.01006  -0.0001   0.9930   0.0690
  -3.750  -0.3405   0.01929   0.00940  -0.0024   0.9850   0.0755
  -3.500  -0.3042   0.01856   0.00874  -0.0044   0.9760   0.0830
  -3.250  -0.2666   0.01793   0.00811  -0.0066   0.9669   0.0929
  -3.000  -0.2277   0.01730   0.00751  -0.0089   0.9578   0.1083
  -2.750  -0.1930   0.01655   0.00693  -0.0104   0.9462   0.1392
  -2.500  -0.1697   0.01443   0.00653  -0.0104   0.9339   0.4780
  -2.250  -0.1403   0.01376   0.00651  -0.0099   0.9209   0.6301
  -2.000  -0.1084   0.01348   0.00651  -0.0095   0.9064   0.7192
  -1.750  -0.0760   0.01337   0.00654  -0.0090   0.8893   0.7822
  -1.500  -0.0426   0.01338   0.00659  -0.0086   0.8689   0.8316
  -1.250  -0.0069   0.01348   0.00665  -0.0085   0.8467   0.8754
  -1.000   0.0325   0.01358   0.00663  -0.0094   0.8232   0.9020
  -0.750   0.0683   0.01360   0.00649  -0.0103   0.7965   0.9163
  -0.500   0.1037   0.01361   0.00633  -0.0112   0.7693   0.9290
  -0.250   0.1381   0.01366   0.00619  -0.0119   0.7401   0.9416
   0.000   0.1772   0.01371   0.00606  -0.0138   0.7088   0.9510
   0.250   0.2151   0.01378   0.00594  -0.0155   0.6760   0.9606
   0.500   0.2513   0.01388   0.00583  -0.0170   0.6429   0.9709
   0.750   0.2908   0.01398   0.00572  -0.0193   0.6079   0.9790
   1.000   0.3288   0.01410   0.00562  -0.0213   0.5731   0.9874
   1.250   0.3670   0.01423   0.00555  -0.0236   0.5382   0.9955
   1.500   0.3991   0.01438   0.00551  -0.0247   0.5060   1.0000
   1.750   0.4210   0.01454   0.00550  -0.0237   0.4787   1.0000
   2.000   0.4428   0.01473   0.00553  -0.0227   0.4523   1.0000
   2.250   0.4645   0.01494   0.00558  -0.0217   0.4282   1.0000
   2.500   0.4863   0.01517   0.00569  -0.0207   0.4056   1.0000
   2.750   0.5080   0.01542   0.00581  -0.0196   0.3856   1.0000
   3.000   0.5296   0.01570   0.00596  -0.0186   0.3675   1.0000
   3.250   0.5514   0.01598   0.00615  -0.0176   0.3514   1.0000
   3.500   0.5733   0.01627   0.00636  -0.0165   0.3372   1.0000
   3.750   0.5951   0.01659   0.00659  -0.0155   0.3247   1.0000
   4.000   0.6168   0.01693   0.00683  -0.0145   0.3136   1.0000
   4.250   0.6390   0.01725   0.00714  -0.0135   0.3026   1.0000
   4.500   0.6611   0.01761   0.00744  -0.0125   0.2935   1.0000
   4.750   0.6832   0.01797   0.00777  -0.0115   0.2845   1.0000
   5.000   0.7054   0.01835   0.00813  -0.0106   0.2763   1.0000
   5.250   0.7275   0.01874   0.00850  -0.0096   0.2684   1.0000
   5.500   0.7498   0.01916   0.00890  -0.0087   0.2614   1.0000
   5.750   0.7722   0.01957   0.00934  -0.0078   0.2540   1.0000
   6.000   0.7943   0.02004   0.00975  -0.0068   0.2478   1.0000
   6.250   0.8170   0.02046   0.01027  -0.0060   0.2408   1.0000
   6.500   0.8393   0.02094   0.01073  -0.0051   0.2346   1.0000
   6.750   0.8619   0.02143   0.01128  -0.0043   0.2284   1.0000
   7.000   0.8843   0.02191   0.01182  -0.0035   0.2219   1.0000
   7.250   0.9066   0.02246   0.01232  -0.0027   0.2166   1.0000
   7.500   0.9289   0.02296   0.01300  -0.0019   0.2099   1.0000
   7.750   0.9509   0.02348   0.01356  -0.0011   0.2041   1.0000
   8.000   0.9727   0.02406   0.01421  -0.0003   0.1984   1.0000
   8.250   0.9942   0.02462   0.01490   0.0005   0.1920   1.0000
   8.500   1.0155   0.02517   0.01544   0.0014   0.1866   1.0000
   8.750   1.0363   0.02579   0.01625   0.0023   0.1801   1.0000
   9.000   1.0566   0.02634   0.01689   0.0032   0.1741   1.0000
   9.250   1.0765   0.02697   0.01761   0.0042   0.1683   1.0000
   9.500   1.0957   0.02759   0.01839   0.0052   0.1617   1.0000
   9.750   1.1143   0.02819   0.01900   0.0062   0.1563   1.0000
  10.000   1.1321   0.02893   0.01998   0.0074   0.1493   1.0000
  10.250   1.1490   0.02953   0.02060   0.0086   0.1437   1.0000
  10.500   1.1649   0.03037   0.02166   0.0099   0.1369   1.0000
  10.750   1.1794   0.03106   0.02242   0.0113   0.1311   1.0000
  11.000   1.1929   0.03200   0.02354   0.0128   0.1245   1.0000
  11.250   1.2043   0.03285   0.02446   0.0144   0.1188   1.0000
  11.500   1.2141   0.03394   0.02571   0.0161   0.1128   1.0000
  11.750   1.2201   0.03499   0.02687   0.0183   0.1076   1.0000
  12.000   1.2246   0.03630   0.02828   0.0203   0.1027   1.0000
  12.250   1.2281   0.03779   0.02993   0.0220   0.0975   1.0000
  12.500   1.2290   0.03946   0.03160   0.0234   0.0937   1.0000
  12.750   1.2296   0.04157   0.03395   0.0245   0.0889   1.0000
  13.000   1.2275   0.04390   0.03639   0.0251   0.0851   1.0000
  13.250   1.2235   0.04666   0.03924   0.0252   0.0819   1.0000
  13.500   1.2178   0.04997   0.04276   0.0247   0.0784   1.0000
  13.750   1.2100   0.05370   0.04663   0.0237   0.0756   1.0000
  14.000   1.2008   0.05779   0.05077   0.0221   0.0734   1.0000
  14.250   1.1880   0.06283   0.05601   0.0200   0.0712   1.0000
  14.500   1.1727   0.06849   0.06186   0.0173   0.0691   1.0000
  14.750   1.1559   0.07455   0.06807   0.0143   0.0675   1.0000
  15.000   1.1391   0.08077   0.07439   0.0111   0.0659   1.0000
  15.250   1.1260   0.08631   0.07997   0.0084   0.0644   1.0000
  15.500   1.1046   0.09373   0.08753   0.0047   0.0631   1.0000
  15.750   1.0769   0.10268   0.09668   0.0001   0.0621   1.0000
  16.000   1.0434   0.11316   0.10735  -0.0054   0.0610   1.0000
