  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65(2)-215                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.000   0.5118   0.00809   0.00251  -0.0422   0.6132   0.7056
   3.250   0.5389   0.00813   0.00255  -0.0421   0.5986   0.7101
   3.500   0.5653   0.00819   0.00258  -0.0419   0.5752   0.7143
   3.750   0.5900   0.00833   0.00265  -0.0414   0.5405   0.7183
   4.000   0.6136   0.00859   0.00276  -0.0408   0.4955   0.7227
   4.250   0.6319   0.00921   0.00304  -0.0393   0.4154   0.7274
   4.500   0.6453   0.01021   0.00357  -0.0373   0.3126   0.7320
   4.750   0.6603   0.01108   0.00409  -0.0355   0.2299   0.7371
   5.000   0.6761   0.01188   0.00457  -0.0339   0.1605   0.7426
   5.250   0.6926   0.01259   0.00503  -0.0323   0.1065   0.7476
   5.500   0.7105   0.01316   0.00546  -0.0309   0.0717   0.7527
   5.750   0.7296   0.01364   0.00586  -0.0297   0.0508   0.7582
   6.000   0.7494   0.01406   0.00624  -0.0286   0.0402   0.7637
   6.250   0.7693   0.01442   0.00662  -0.0275   0.0345   0.7695
   6.500   0.7890   0.01479   0.00702  -0.0264   0.0310   0.7760
   6.750   0.8077   0.01514   0.00741  -0.0250   0.0286   0.7821
   7.000   0.8231   0.01554   0.00784  -0.0231   0.0266   0.7888
   7.500   0.8552   0.01635   0.00879  -0.0196   0.0240   0.8025
   7.750   0.8710   0.01682   0.00930  -0.0179   0.0230   0.8104
   8.000   0.8852   0.01736   0.00989  -0.0161   0.0219   0.8184
   8.250   0.8980   0.01802   0.01059  -0.0142   0.0210   0.8274
   8.500   0.9131   0.01853   0.01120  -0.0126   0.0203   0.8361
   8.750   0.9278   0.01911   0.01185  -0.0110   0.0197   0.8453
   9.000   0.9414   0.01972   0.01255  -0.0093   0.0190   0.8555
   9.250   0.9546   0.02037   0.01328  -0.0076   0.0186   0.8667
   9.500   0.9670   0.02106   0.01405  -0.0059   0.0180   0.8798
   9.750   0.9787   0.02179   0.01486  -0.0041   0.0177   0.8948
  10.000   0.9882   0.02263   0.01579  -0.0021   0.0172   0.9140
  10.250   0.9978   0.02365   0.01691  -0.0004   0.0168   0.9404
  10.750   1.0323   0.02559   0.01900  -0.0002   0.0163   1.0000
  11.000   1.0453   0.02663   0.02011   0.0008   0.0160   1.0000
  11.250   1.0579   0.02772   0.02125   0.0017   0.0157   1.0000
  11.500   1.0700   0.02885   0.02245   0.0026   0.0154   1.0000
  11.750   1.0819   0.03003   0.02369   0.0035   0.0152   1.0000
  12.000   1.0936   0.03124   0.02495   0.0043   0.0149   1.0000
  12.250   1.1057   0.03243   0.02619   0.0050   0.0146   1.0000
  12.500   1.1174   0.03367   0.02750   0.0057   0.0144   1.0000
  12.750   1.1279   0.03502   0.02890   0.0064   0.0141   1.0000
  13.000   1.1381   0.03642   0.03035   0.0070   0.0139   1.0000
  13.250   1.1473   0.03794   0.03193   0.0077   0.0137   1.0000
  13.500   1.1551   0.03963   0.03368   0.0083   0.0135   1.0000
  13.750   1.1610   0.04158   0.03570   0.0091   0.0133   1.0000
  14.000   1.1694   0.04329   0.03751   0.0095   0.0132   1.0000
  14.250   1.1767   0.04515   0.03949   0.0100   0.0131   1.0000
  14.500   1.1832   0.04713   0.04159   0.0103   0.0129   1.0000
  14.750   1.1889   0.04925   0.04383   0.0106   0.0128   1.0000
  15.000   1.1937   0.05151   0.04622   0.0108   0.0126   1.0000
  15.250   1.1975   0.05393   0.04876   0.0108   0.0126   1.0000
  15.500   1.1996   0.05661   0.05158   0.0107   0.0124   1.0000
  15.750   1.2013   0.05940   0.05450   0.0105   0.0123   1.0000
  16.000   1.2007   0.06259   0.05784   0.0101   0.0122   1.0000
  16.250   1.2004   0.06580   0.06117   0.0094   0.0120   1.0000
  16.500   1.1989   0.06926   0.06477   0.0085   0.0119   1.0000
  16.750   1.1947   0.07323   0.06888   0.0074   0.0118   1.0000
  17.000   1.1924   0.07705   0.07284   0.0060   0.0116   1.0000
  17.250   1.1861   0.08162   0.07755   0.0043   0.0115   1.0000
  17.500   1.1809   0.08617   0.08222   0.0023   0.0114   1.0000
  17.750   1.1718   0.09157   0.08778  -0.0002   0.0113   1.0000
  18.000   1.1592   0.09781   0.09420  -0.0032   0.0113   1.0000
  18.250   1.1495   0.10375   0.10027  -0.0065   0.0112   1.0000
  18.500   1.1337   0.11114   0.10783  -0.0106   0.0112   1.0000
