  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   5.750   0.8100   0.01121   0.00450  -0.0157   0.1796   1.0000
   6.000   0.8328   0.01139   0.00468  -0.0148   0.1748   1.0000
   6.250   0.8554   0.01161   0.00488  -0.0138   0.1703   1.0000
   6.500   0.8786   0.01177   0.00507  -0.0130   0.1659   1.0000
   6.750   0.9015   0.01199   0.00527  -0.0121   0.1608   1.0000
   7.000   0.9243   0.01223   0.00551  -0.0112   0.1558   1.0000
   7.250   0.9476   0.01243   0.00573  -0.0104   0.1509   1.0000
   7.500   0.9704   0.01268   0.00597  -0.0095   0.1454   1.0000
   7.750   0.9935   0.01293   0.00623  -0.0087   0.1406   1.0000
   8.000   1.0167   0.01318   0.00649  -0.0079   0.1348   1.0000
   8.250   1.0396   0.01349   0.00678  -0.0071   0.1289   1.0000
   8.500   1.0629   0.01377   0.00708  -0.0064   0.1225   1.0000
   8.750   1.0858   0.01412   0.00741  -0.0057   0.1164   1.0000
   9.000   1.1090   0.01443   0.00775  -0.0051   0.1104   1.0000
   9.250   1.1316   0.01482   0.00812  -0.0043   0.1041   1.0000
   9.500   1.1544   0.01520   0.00851  -0.0037   0.0974   1.0000
   9.750   1.1765   0.01564   0.00894  -0.0029   0.0902   1.0000
  10.000   1.1978   0.01614   0.00941  -0.0021   0.0825   1.0000
  10.250   1.2193   0.01663   0.00990  -0.0013   0.0752   1.0000
  10.500   1.2402   0.01715   0.01043  -0.0005   0.0691   1.0000
  10.750   1.2603   0.01773   0.01100   0.0004   0.0632   1.0000
  11.000   1.2804   0.01829   0.01159   0.0013   0.0579   1.0000
  11.250   1.2997   0.01890   0.01221   0.0023   0.0531   1.0000
  11.750   1.3356   0.02024   0.01359   0.0045   0.0441   1.0000
  12.000   1.3519   0.02098   0.01436   0.0058   0.0406   1.0000
  12.250   1.3676   0.02171   0.01513   0.0072   0.0374   1.0000
  12.500   1.3802   0.02249   0.01595   0.0090   0.0349   1.0000
  12.750   1.3919   0.02330   0.01681   0.0109   0.0325   1.0000
  13.000   1.4016   0.02427   0.01784   0.0128   0.0304   1.0000
  13.250   1.4121   0.02522   0.01887   0.0145   0.0286   1.0000
  13.500   1.4201   0.02640   0.02010   0.0161   0.0268   1.0000
  13.750   1.4274   0.02770   0.02147   0.0175   0.0254   1.0000
  14.000   1.4343   0.02910   0.02297   0.0187   0.0241   1.0000
  14.250   1.4387   0.03082   0.02476   0.0197   0.0229   1.0000
  14.500   1.4410   0.03287   0.02691   0.0204   0.0219   1.0000
  14.750   1.4442   0.03499   0.02914   0.0207   0.0211   1.0000
  15.000   1.4451   0.03754   0.03180   0.0205   0.0204   1.0000
  15.250   1.4431   0.04060   0.03497   0.0199   0.0197   1.0000
  15.500   1.4379   0.04429   0.03879   0.0188   0.0192   1.0000
  15.750   1.4290   0.04871   0.04334   0.0171   0.0188   1.0000
  16.000   1.4171   0.05377   0.04853   0.0149   0.0185   1.0000
  16.250   1.4035   0.05926   0.05419   0.0124   0.0182   1.0000
  16.500   1.3853   0.06555   0.06064   0.0095   0.0180   1.0000
  16.750   1.3629   0.07257   0.06782   0.0062   0.0179   1.0000
  17.000   1.3372   0.08020   0.07560   0.0028   0.0179   1.0000
  17.250   1.3104   0.08812   0.08367  -0.0008   0.0179   1.0000
